risk_category,consolidation_status,lat,lng,address,street_number,height_regime,locality,county,year_built,apartment_count,surface,,examination_year,certified_expert,observations
RS3,NO,44.4204048,26.1349565,Calea DUDEŞTI,51,S+P,Sector 3,București,1900,,,,1993,Mircea NEICU,
RS2,NO,44.40575015,26.0796947,Calea FERENTARI,72 (bloc 20),S+P+3E,Sector 5,București,1949,,27,27,1993,Gabriel NICULESCU,
RS2,NO,44.40621628,26.07879949,Calea FERENTARI,72 (bloc A1),S+P+3E,Sector 5,București,1948,,27,27,1993,Gabriel NICULESCU,
RS2,NO,44.40572125,26.07672976,Calea FERENTARI,72 (bloc A10),S+P+3E,Sector 5,București,1951,,27,27,1993,Nicolae GHITA,
RS2,NO,44.40584971,26.07786554,Calea FERENTARI,72 (bloc A3),S+P+3E,Sector 5,București,1952,,254,254,1993,Helmuth KOBER,
RS2,NO,44.40550335,26.07689142,Calea FERENTARI,72 (bloc A5),S+P+3E,Sector 5,București,1950,,27,27,1993,Laur AGAPI,
RS2,NO,44.40631965,26.07751952,Calea FERENTARI,72 (bloc A6),S+P+3E,Sector 5,București,1949,,254,254,1993,Cristian BALAN,
RS2,NO,44.40576401,26.07911695,Calea FERENTARI,72 (bloc B2),S+P+3E,Sector 5,București,1949,,27,27,1993,Cristian BALAN,
RS2,NO,44.40509714,26.07726553,Calea FERENTARI,72 (bloc B3),S+P+3E,Sector 5,București,1949,,27,27,1993,Cristian BALAN,
RS2,NO,44.40530501,26.07708024,Calea FERENTARI,72 (bloc B4),S+P+3E,Sector 5,București,1947,,27,27,1993,Helmuth KÖBER,
RS2,NO,44.40555074,26.07932285,Calea FERENTARI,72 (bloc C2),S+P+3E,Sector 5,București,1949,,27,27,1993,Cristian BALAN,
RS2,NO,44.40520295,26.078375,Calea FERENTARI,72 (bloc C4),S+P+3E,Sector 5,București,1947,,27,27,1993,Helmuth KÖBER,
RS2,NO,44.40485043,26.07740544,Calea FERENTARI,72 (bloc C6),S+P+3E,Sector 5,București,1947,,27,27,1993,Helmuth KÖBER,
RS2,NO,44.454412,26.100681,Calea FLOREASCA,11,S+P+2E,Sector 1,București,1924,,5577,5577,1993,Radu DIAMANDOPOL,
C,YES_PUBLIC,44.461896,26.101367,Calea FLOREASCA,112,S+P+2E+Ma+Pod,Sector 1,București,1938,5,749,749,1994,Adina SIMION,AC nr.425/16/F/14972/2013 PVRTL nr.28/2014
U1,NO,44.461951,26.101056,Calea FLOREASCA,145,S+P+2E+Ma,Sector 1,București,1936,5,139,139,1993,Armand NEFIAN,
RS2,NO,44.454873,26.100664,Calea FLOREASCA,19,S+P+2E+Ma,Sector 1,București,1926,,843,843,1993,Dan POPESCU,
RS2,NO,44.448115,26.062725,Calea GIULEŞTI,11,S+P+8E,Sector 6,București,1962,,,,1995,Dan CAPATINA,
RS3,NO,44.462604,26.041479,Calea GIULEŞTI,133,S+P+4E,Sector 6,București,1961,,47,47,1996,Iorgu NICULA,
RS2,NO,44.45864,26.051679,Calea GIULEŞTI,42,S+P+8E,Sector 6,București,1963,,999,999,1996,Dan CAPATINA,
U3,NO,44.448359,26.06255,Calea GIULEŞTI,46÷48 (bloc 4+4anexă; tronson 1+2+3+4),S+P+7E + 1E retras,Sector 6,București,1961,,4256,4256,2018,Dan POPESCU,Încadrare în clasă de risc seismic RsIII în anul 2018 (documentaţie tehnico economică elaborată pentru creşterea eficienţei energetice a construcţiei)
RS2,NO,44.460741,26.047536,Calea GIULEŞTI,50÷52 (corp A+B),S+P+8E,Sector 6,București,1962,,4815,4815,1995,Dan CAPATINA,
C,YES_PUBLIC,44.4461093,26.0785572,Calea GRIVIŢEI (Hotel “NORD”),143,S+P+Mz+7E,Sector 1,București,1965,,131,131,1998,Traian POPP,AC nr.58G/1998 PVRTL nr.1/2001
U1,NO,44.445611,26.082549,Calea GRIVIŢEI,103 (corp A+B+C),S+P+1E; S+P,Sector 1,București,1904,10,596,596,1993,Aurel COMANESCU,
U1,NO,44.44553262,26.08226197,Calea GRIVIŢEI,107÷109 (corp A),S+P+4E+Ma,Sector 1,București,1934,24,2885,2885,1996,Stere CARACOTI,
RS1,NO,44.44587,26.08117,Calea GRIVIŢEI,123,S+P+1E+Ma,Sector 1,București,1930,,,,1993,Adina SIMION,
U1,NO,44.445912,26.081007,Calea GRIVIŢEI,125,S+P+2E,Sector 1,București,1915,4,154,154,1993,Horia DUGAN,
RS2,NO,44.457506,26.060651,Calea GRIVIŢEI,127 (corp A+D+E),S+P+1E+Ma; S+P;,Sector 1,București,1900,2,600,600,1993,Dan POPESCU,
U1,NO,44.445955,26.080845,Calea GRIVIŢEI,127 (corp B+C),S+P+1E,Sector 1,București,1900,10,582,582,1993,Aurel COMANESCU,
RS2,NO,44.445997,26.080683,Calea GRIVIŢEI,129,S+P+1E+Ma,Sector 1,București,1930,10,947,947,1993,Dan POPESCU,
U2,NO,44.444291,26.089824,Calea GRIVIŢEI,13,S+P+3E+Ma,Sector 1,București,1890,11,520,520,1995,Adina SIMION,
RS1,NO,44.446039,26.08052,Calea GRIVIŢEI,131 (corp B),S+P+1E+Ma,Sector 1,București,1880,3,328,328,1993,Dan POPESCU,
U2,NO,44.447692,26.075562,Calea GRIVIŢEI,139,S+P+Mz+8E,Sector 1,București,1965,108,112,112,1998,Silvia CARAMAN,
RS1,NO,44.451239,26.068503,Calea GRIVIŢEI,166A,S+P+2E+Ma,Sector 1,București,1935,,,,1994,Horia DUGAN,
RS2,NO,44.45226,26.066865,Calea GRIVIŢEI,172,S+P+3E,Sector 1,București,1935,10,140,140,1993,Constantin ARIENESCU,
U2,NO,44.452412,26.066735,Calea GRIVIŢEI,174 (bloc S),S+P+11E,Sector 1,București,1962,46,44,44,2001,Niculaie TUDOSE,
RS2,NO,44.452412,26.066735,Calea GRIVIŢEI,174B,S+P+3E,Sector 1,București,1935,,,,1995,Nicolae CONSTANTINESCU,
U3,NO,44.453576,26.064951,Calea GRIVIŢEI,184B (fost 184B -corp A),S+P+3E,Sector 1,București,1935,11,1375,1375,2013,Horia DUGAN,Încadrare în clasă de risc seismic în anul 2013
RS1,NO,44.453576,26.064951,Calea GRIVIŢEI,184C (fost 184B - corp B),S+P+2E+Ma;,Sector 1,București,1935,8,96,96,1993,Mircea CONDRUT,
U2,NO,44.454355,26.063825,Calea GRIVIŢEI,188 (bloc M),S+P+11E,Sector 1,București,1962,46,495,495,2001,Niculaie TUDOSE,
RS2,NO,44.44432772,26.08822162,Calea GRIVIŢEI,23,S+P+4E,Sector 1,București,1928,,142,142,1994,Horia DUGAN,
N/A,NO,44.469663,26.051604,Calea GRIVIŢEI,234,S+P+7E,Sector 1,București,1961,96,6548,6548,1996,Alexandru HRISTOFOROV,
U2,NO,44.470516,26.050915,Calea GRIVIŢEI,236 (bloc H),S+P+8E,Sector 1,București,1961,93,7612,7612,2001,Silvia CARAMAN,
U1,NO,44.472502,26.04965,Calea GRIVIŢEI,238,S+P+8E,Sector 1,București,1960,136,11568,11568,1996,Nicolae ALEMAN,
RS1,NO,44.44420041,26.08831694,Calea GRIVIŢEI,23A,S+P+1E,Sector 1,București,1910,5,520,520,1993,Horia DUGAN,
U3,NO,44.473209,26.048852,Calea GRIVIŢEI,240,S+P+7E,Sector 1,București,1960,96,6683,6683,2001,Rodica VASILESCU,
U1,NO,44.444601,26.087083,Calea GRIVIŢEI,33,P+7E+Ma,Sector 1,București,1930,24,3683,3683,1995,Alexandrina PRETORIAN,
RS1,NO,44.44503263,26.08625694,Calea GRIVIŢEI,36 (corp A+B),S+P+2E,Sector 1,București,1926,5,700,700,1993,Horia DUGAN,
RS1,NO,44.44529912,26.08632492,Calea GRIVIŢEI,36 (corp C),S+P+2E,Sector 1,București,1900,6,700,700,1993,Horia DUGAN,
U1,NO,44.444679,26.086709,Calea GRIVIŢEI,39,S+P+6E,Sector 1,București,1940,,,,2014,Dan CAPATANA,Încadrare în clasă de risc seismic în anul 2014
U2,NO,44.470358,26.050564,Calea GRIVIŢEI,395 (bloc M),S+P+7E+Ma,Sector 1,București,1960,92,7717,7717,2001,Dan CAPATINA,
RS3,NO,44.444731,26.08646,Calea GRIVIŢEI,43 (corp B),S+P+1E+Ma,Sector 1,București,1923,5,548,548,1993,Valter BOGDAN,
RS2,NO,44.445301,26.084417,Calea GRIVIŢEI,50,S+P+1E+Ma,Sector 1,București,1930,4,516,516,1993,Adina SIMION,
RS1,NO,44.457506,26.060651,Calea GRIVIŢEI,63 (corp A+B+C),S+P+2E,Sector 1,București,1923,13,1,1,1993,Valter BOGDAN,
U2,NO,44.445279,26.084185,Calea GRIVIŢEI,77,S+P+2E,Sector 1,București,1900,5,840,840,1997,Rodica VASILESCU,
RS2,NO,44.439529,26.11568,Calea MOŞILOR (colț cu Bulevardul CAROL I),113 (54),S+P+8E,Sector 2,București,1934,,,,1993,Stefan MIHAILESCU,
RS1,NO,44.448342,26.124934,Calea MOŞILOR,10,S+P+2E,Sector 2,București,1900,,,,1993,Mircea NEICU,
RS2,NO,44.436409,26.111155,Calea MOŞILOR,103 (corp A+B),S+P+3E+Ma,Sector 2,București,1936,,,,1993,Niculaie TUDOSE,
RS3,NO,44.439529,26.11568,Calea MOŞILOR,105 (corp A+B+C),S+P+1E+Ma; S+P,Sector 2,București,1936,,,,1993,Niculaie TUDOSE,
C,DEMOLISHED,44.434807,26.108059,Calea MOŞILOR,106 (corp A+B),S+P+1E,Sector 2,București,1900,,,,1993,Mircea VASILIU,Imobil propus pentru demolare
C,DEMOLISHED,44.434887,26.108156,Calea MOŞILOR,108 (corp A+B),S+P+1E,Sector 2,București,1920,,,,1993,Mircea VASILIU,Imobil propus pentru demolare
RS3,NO,44.436985,26.112558,Calea MOŞILOR,115,S+P+6E+Ma,Sector 2,București,1934,,,,1993,Niculaie TUDOSE,
RS1,NO,44.43565,26.10907,Calea MOŞILOR,120 (corp A+B+C),S+P+1E+Ma,Sector 2,București,1900,,,,1993,Mircea VASILIU,
RS1,NO,44.435834,26.109469,Calea MOŞILOR,122,S+P+1E+Ma,Sector 2,București,1900,,,,1993,Mircea VASILIU,
RS2,NO,44.437252,26.113076,Calea MOŞILOR,123,S+P+4E+Ma,Sector 2,București,1933,,,,1993,Dan POPESCU,
RS2,NO,44.435886,26.109834,Calea MOŞILOR,124,S+P+3E+Ma,Sector 2,București,1910,,,,1993,Niculaie TUDOSE,
RS2,NO,44.435943,26.110115,Calea MOŞILOR,126,S+P+4E,Sector 2,București,1934,,,,1993,Dan POPESCU,
U2,NO,44.435943,26.110115,Calea MOŞILOR,126A,S+P+5E,Sector 2,București,1936,10,1222,1222,2001,Zefir APOSTOL,
U1,NO,44.437583,26.113528,Calea MOŞILOR,131,S+P+5E+Ma,Sector 2,București,1938,29,228,228,1993,Dan STANCIULESCU,
U2,NO,44.438504,26.114808,Calea MOŞILOR,133,S+P+7E,Sector 2,București,1938,22,1979,1979,2017,Ionel BELGUN,Reîncadrare în clasă de risc seismic în anul 2017 + acordul asociaţiei proprietarilor (imobilul a fost încadrat iniţial în RsI de expertul tehnic atestat M.D.R.A.P. Dan POPESCU)
RS1,NO,44.436299,26.111513,Calea MOŞILOR,134÷134A,S+P+1E,Sector 2,București,1860,,,,1993,Mircea VASILIU,
RS1,NO,44.436308,26.111159,Calea MOŞILOR,136÷138,S+P+1E+Ma,Sector 2,București,1860,,,,1993,Mircea VASILIU,
U2,NO,44.448588,26.124124,Calea MOŞILOR,145,S+P+3E+M,Sector 2,București,1938,10,1442,1442,2007,Gheorghe MIERTOIU,
U1,NO,44.439966,26.116086,Calea MOŞILOR,149,S+Ds+P+4E,Sector 2,București,1934,12,184,184,2009,Rodica VASILESCU,
C,DEMOLISHED,44.431405,26.105384,Calea MOŞILOR,18,S+P+1E,Sector 2,București,1900,,,,1993,Mircea VASILIU,Imobil propus pentru demolare
RS1,NO,44.440964,26.117052,Calea MOŞILOR,203,S+P+4E+Ma,Sector 2,București,1939,,,,1993,Dan POPESCU,
C,YES_PUBLIC,44.4308502,26.1043884,Calea MOŞILOR,21,S+P+3E,Sector 3,București,1940,,552,552,1993,Stelian PICULESCU,AC nr.367/965853/2013 PVRTL nr.1154863/2013
RS3,NO,44.444138,26.119451,Calea MOŞILOR,223 (bloc 31C),S+P+8…9E,Sector 2,București,1981,,,,1993,Stefan MIHAILESCU,
RS1,NO,44.430995,26.104505,Calea MOŞILOR,23,S+P+2E,Sector 3,București,1900,,798,798,1993,Stelian PICULESCU,
RS3,NO,44.431071,26.104586,Calea MOŞILOR,25,S+P+1E+Ma,Sector 3,București,1925,,,,1993,Dan DOBRESCU,
RS1,NO,44.447522,26.122691,Calea MOŞILOR,251 (bloc 51bis),S+P+8E,Sector 2,București,1935,,,,1993,Valentin GRIGORESCU,
U2,NO,44.431132,26.104843,Calea MOŞILOR,27,S+P+2E+Pod,Sector 3,București,1885,4,1275,1275,2016,Ionel BELGUN,Încadrare în clasă de risc seismic în anul 2016 (cu acordul tuturor proprietarilor).
RS1,NO,44.430787,26.104436,Calea MOŞILOR,34,S+P+2E+Ma,Sector 3,București,1910,5,800,800,1993,Mircea NEICU,
RS1,NO,44.430948,26.104709,Calea MOŞILOR,38,S+P+2E+Pod,Sector 3,București,1892,,,,1993,Armand NEFIAN,
U2,NO,44.43111,26.104982,Calea MOŞILOR,42,P+4E+Ma,Sector 3,București,1930,4,442,442,1993,Manoiu OCTAVIAN,Reincadrare in clasa de risc seismic in anul 2019 (imobilul a fost incadrat initial in RS I de catre expertul tehnic atestat Ing. Alexandru NEFIAN)
RS2,NO,44.43119,26.105119,Calea MOŞILOR,44,S+P+2E+Ma,Sector 3,București,1910,,,,1993,Radu PETROVICI,
RS2,NO,44.431252,26.10525,Calea MOŞILOR,46,S+P+1E,Sector 3,București,1900,,,,1993,N.icola COSPODINOV,
U2,NO,44.434021,26.107414,Calea MOŞILOR,59,S+P+3E+Ma,Sector 3,București,1933,11,11,11,1993,Alexandru BRÎNZEI,
U1,NO,44.432758,26.106606,Calea MOŞILOR,74,S+P+1E+Ma,Sector 2,București,1890,,680,680,2019,Cătălin ȘTEFAN,Încadrat in clasa I de risc seismic în anul 2019
RS3,NO,44.432942,26.106781,Calea MOŞILOR,80,S+P+4E+Ma,Sector 3,București,1937,,,,1993,Paul VERNESCU,
RS1,NO,44.433003,26.106839,Calea MOŞILOR,82,S+P+1E,Sector 3,București,1890,,1276,1276,1993,Vasile BOGDAN,
U1,NO,44.43286953,26.10683844,Calea MOȘILOR,84,S+P+1E,Sector 3,București,1864,,1348,1348,2019,Ionel BELGUN,
RS1,NO,44.442218,26.118719,Calea MOŞILOR,86bis,S+P+5E+Ma,Sector 3,București,1937,,,,1993,Ion VARSA,
RS2,NO,44.433615,26.107681,Calea MOŞILOR,90,S+P+1E+Ma,Sector 3,București,1900,,,,1993,Maria CRACIUN,
RS1,NO,44.433731,26.107707,Calea MOŞILOR,92,S+P+1E+Ma,Sector 3,București,1900,,,,1993,Maria CRACIUN,
U1,NO,44.434284,26.107918,Calea MOŞILOR,96,S+P+5E+Ma,Sector 2,București,1900,11,1803,1803,1993,Ioan VÎRSA,
RS1,NO,44.434324,26.107801,Calea MOŞILOR,98,S+P+2E,Sector 2,București,1935,,,,1993,Ion VARSA,
U1,NO,44.433639,26.089522,Calea PLEVNEI,1,S+P+8E,Sector 5,București,1930,52,622,622,1993,Dragoş BADEA,
RS1,NO,44.439016,26.075205,Calea PLEVNEI,11bis (corp B+C),S+P+2E+Ma,Sector 1,București,1900,,,,1993,Armand NEFIAN,
N/A,NO,44.433639,26.089522,Calea PLEVNEI,131A,S+P+2E,Sector 1,București,1931,,,,1993,Mircea MIRONESCU,
RS3,NO,44.435188,26.086998,Calea PLEVNEI,15,S+P+6E,Sector 1,București,1958,,,,1995,Virgil FIERBINTEANU,
RS3,NO,44.435429,26.086614,Calea PLEVNEI,22 (corp A+B+C+D),S+P+1E,Sector 1,București,1870,,,,1993,Mircea MIRONESCU. Nicolae ROSCA,
RS3,NO,44.435754,26.085732,Calea PLEVNEI,26A,S+P+2E,Sector 1,București,1910,,,,1993,Mihai URSACHESCU,
RS3,NO,44.436715,26.08358,Calea PLEVNEI,40,S+P+1E,Sector 1,București,1900,,,,1993,Mihai URSACHESCU,
RS3,NO,44.4371081,26.0820879,Calea PLEVNEI,"46÷48 (corp A+B, C+D, G)",S+P+2E,Sector 1,București,1910,,,,1993,Aurel COMANESCU,
U3,NO,44.434226,26.088304,Calea PLEVNEI,5÷7,S+P+8E,Sector 5,București,1947,32,27,27,2000,Grigore ARSENIE,
RS3,NO,44.437046,26.080912,Calea PLEVNEI,54 (corp A+B),S+P+1E+Ma,Sector 1,București,1920,,,,1993,Aurel COMANESCU,
RS1,NO,44.437068,26.080681,Calea PLEVNEI,56 (corp A+B),S+P+1E+Ma,Sector 1,București,1900,,,,1993,Constantin ARIENESCU,
RS2,NO,44.437061,26.080562,Calea PLEVNEI,57,S+P+1E+Ma,Sector 1,București,1935,,,,1993,Constantin ARIENESCU,
N/A,NO,44.412901,26.072603,Calea RAHOVEI,332÷336 (bloc 43A+B),S+P+9E,Sector 5,București,1980,,,,1993,Vlad DUMITRESCU,
N/A,NO,44.4212048,26.0858788,Calea RAHOVEI,46 (corp A+B),S+P+2E+Ma,Sector 4,București,1923,,,,1993,Alexandru BRANZEI,
N/A,NO,44.421652,26.087006,Calea RAHOVEI,50,S+P+2E+Ma,Sector 4,București,1895,6,2389,2389,1995,Nicolae TOPA,
RS3,NO,44.4062716,26.0641426,Calea RAHOVEI,51,S+P,Sector 4,București,1900,,,,1993,Alexandru BRANZEI,
RS2,NO,44.4062716,26.0641426,Calea RAHOVEI,53,S+P+2E,Sector 4,București,1910,,,,1993,Dan STANCIULESCU,
U1,NO,44.421652,26.087006,Calea RAHOVEI,63 (corp A+B),S+P+1E+Ma,Sector 4,București,1894,27,21,21,1993,Eugeniu IORDACHESCU,
RS2,NO,44.422443,26.090289,Calea RAHOVEI,65 (corp A+B+C),S+P,Sector 4,București,1928,,,,1993,Cristian BALAN,
RS3,NO,44.4153489,26.0780353,Calea RAHOVEI,69,S+P+3E+Ma,Sector 4,București,1932,,1164,1164,1995,Nicolae TOPA,
RS2,NO,44.4099918,26.0693795,Calea RAHOVEI,71 (corp A+B),S+P+1E; S+P+2E,Sector 4,București,1895,,,,1993,Cristian BALAN,
RS3,NO,44.4152328,26.077809,Calea RAHOVEI,72 (corp A+B),S+P,Sector 4,București,1915,,,,1993,Alexandru BRANZEI,
RS2,NO,44.4099918,26.0693795,Calea RAHOVEI,74÷76,S+P+1E+Ma,Sector 4,București,1900,,,,1993,Corneliu NICUT,
RS2,NO,44.422443,26.090289,Calea RAHOVEI,86 (corp A+B+C),S+P+1E,Sector 4,București,1900,,,,1993,Cristian BALAN,
RS2,NO,44.421652,26.087006,Calea RAHOVEI,92,S+P+2E+Ma,Sector 4,București,1920,,,,1993,Dan STANCIULESCU,
U2,NO,44.419249,26.101521,Calea ŞERBAN VODĂ,105,S+P+4E,Sector 4,București,,16,1205,1205,1995,Gabriel NICULESCU,
U1,NO,44.41817855,26.10109092,Calea ȘERBAN VODĂ,107,Ds+P,Sector 4,București,1920,,600,600,2019,Ionel BELGUN,
RS1,NO,44.417963,26.100897,Calea SERBAN VODA,109,S+P+Ma,Sector 4,București,1893,,,,1993,Aurelian PAVELESCU,
RS1,NO,44.417876,26.100874,Calea SERBAN VODA,111,S+P+1E,Sector 4,București,1948,,,,1993,Aurelian PAVELESCU,
RS1,NO,44.417649,26.100818,Calea SERBAN VODA,115 (corp A+B),S+P+2E; S+P,Sector 4,București,1928,,,,1993,Cristian BALAN,
U2,NO,44.418295,26.100906,Calea ŞERBAN VODĂ,124,S+P+3E+Ma,Sector 4,București,1938,10,912,912,1997,Armand NEFIAN,
RS2,NO,44.418212,26.100866,Calea SERBAN VODA,126,S+P+2E,Sector 4,București,1900,,,,1993,Dan STANCIULESCU,
U1,NO,44.417751,26.100665,Calea SERBAN VODA,138,S+P+1E,Sector 4,București,1915,9,376,376,2019,Ionel BELGUN,Încadrare în clasă de risc seismic în anul 2019
U1,NO,44.416166,26.101228,Calea ŞERBAN VODA,139,S+P+2E,Sector 4,București,1934,5,22,22,1997,Alexandru HRISTOFOROV,
RS2,NO,44.415986,26.101388,Calea SERBAN VODA,143 (corp A+B),S+P,Sector 4,București,1917,,,,1993,Aurelian PAVELESCU,
RS3,NO,44.415815,26.101562,Calea SERBAN VODA,147 (corp A+B),S+P; S+P+1E+Ma,Sector 4,București,1938,,,,1993,Aurelian PAVELESCU,
U1,NO,44.415655,26.101576,Calea ŞERBAN VODA,180,S+P+3E,Sector 4,București,1934,9,977,977,1997,Armand NEFIAN,
RS3,NO,44.407424,26.095706,Calea SERBAN VODA,266,S+P+3E+Ma,Sector 4,București,1942,6,1866,1866,1995,Nicolae TOPA,
U2,NO,44.423343,26.102901,Calea ŞERBAN VODĂ,31,S+P+Mz+4E,Sector 4,București,1930,29,1374,1374,1999,Rodica VASILESCU,
RS1,NO,44.421575,26.102869,Calea SERBAN VODA,43 (bloc 2),S+P+8E,Sector 4,București,1963,160,1256,1256,1996,Niculaie TUDOSE,
RS3,NO,44.419781,26.102022,Calea SERBAN VODA,81÷83,S+P+3E+Ma,Sector 4,București,1930,,257,257,1995,Nicolae TOPA,
C,YES_PUBLIC,44.436928,26.0982224,Calea VICTORIEI (hotel “CONTINENTAL”),56,S+P+3E+Ma,Sector 1,București,1900,,66,66,2006,Mircea MIRONESCU,AC nr.3/693520/2008 PVRTL nr.18/5945/S.G/2009
C,YES_PUBLIC,44.4360113,26.0977755,Calea VICTORIEI (Teatrul de revistă “CONSTANTIN TĂNASE”),33÷35,S+P+5E+Ma,Sector 1,București,1930,66,48,48,1993,Victor NEDRITA,PVRTL nr.3403/2008
U2,NO,44.43057892,26.09660411,Calea VICTORIEI,1÷5 (corp A+B+C+D),S+P+9E;P+9ES+Mz+9; S+P+Mz+9; P+9,Sector 3,București,1961,148,1311,1311,2011,Dan POPESCU,
U1,NO,44.441972,26.094241,Calea VICTORIEI,101 (corp A+B),S+P+10E,Sector 1,București,1938,95,7572,7572,1994,Eugeniu IORDANESCU,
U2,NO,44.44358669,26.09256538,Calea VICTORIEI,103÷105 (corp A+B),S+P+10E; S+P+7E,Sector 1,București,1959,81,16121,16121,1994,Dragoş BADEA,
U1,NO,44.442046,26.094222,Calea VICTORIEI,112,S+P+Mz+8E,Sector 1,București,1939,27,5212,5212,1995,Dan POPESCU,
RS2,NO,44.445415,26.090991,Calea VICTORIEI,115,S+P+1E+Ma,Sector 1,București,1887,,2518,2518,1996,Anatolie CAZACLIU,
RS2,NO,44.443268,26.093183,Calea VICTORIEI,122,S+P+Mz+4E,Sector 1,București,1936,,2121,2121,1996,Gabriel NICULESCU,
U1,NO,44.443392,26.093071,Calea VICTORIEI,124,S+P+5E+Ma,Sector 1,București,1900,28,3377,3377,1997,Valentin GEORGESCU,
C,YES_PUBLIC,44.4437118,26.0927391,Calea VICTORIEI,128A,S+P+8E,Sector 1,București,1935,59,6675,6675,1994,Mihai NAVODARIU,PVRTL nr.3259/2011
U2,NO,44.443712,26.092739,Calea VICTORIEI,128B,S+P+3E+Ma,Sector 1,București,1935,22,161,161,2000,Niculaie TUDOSE,
U3,NO,44.432112,26.097372,Calea VICTORIEI,12A,S+P+6E,Sector 3,București,1978,36,5164,5164,2010,Mihai VOICULESCU,Încadrare în clasă de risc seismic în anul 2010
RS2,NO,44.444078,26.092358,Calea VICTORIEI,134,S+P+2E+Ma,Sector 1,București,1900,25,3115,3115,1993,Eugeniu IORDACHESCU,
RS1,NO,44.448294,26.089111,Calea VICTORIEI,135,S+P+9E,Sector 1,București,1940,,,,1993,Mircea NEICU,
U2,NO,44.444169,26.092262,Calea VICTORIEI,136,S+P+7E,Sector 1,București,1958,54,4976,4976,2000,Mihai URSĂCHESCU,
U1,NO,44.448538,26.088925,Calea VICTORIEI,139,S+P+7E,Sector 1,București,1942,30,129,129,1993,Rodica ANGELESCU,
U2,NO,44.448774,26.088746,Calea VICTORIEI,143,S+P+5E+Ma,Sector 1,București,1921,82,114,114,1995,Horia DUGAN,
RS1,NO,44.433348,26.097916,Calea VICTORIEI,16÷20,S+P+2E; S+P+3E+Pod,Sector 3,București,1890,,,,1993,Emilian TITARU,
RS3,NO,44.447496,26.08983,Calea VICTORIEI,190,S+P+2E+Ma,Sector 1,București,1895,,2876,2876,1996,Mihai URSACHESCU,
U2,NO,44.430383,26.096888,Calea VICTORIEI,2÷4,S+P+8E,Sector 3,București,1928,72,11782,11782,2017,Mihai VOICULESCU,Reîncadrare în clasă de risc seismic în anul 2017 + acordul asociaţiei proprietarilor (imobilul a fost încadrat iniţial în RsI de expertul tehnic atestat M.D.R.A.P. Voicu DORDEA)
U1,NO,44.449503,26.088614,Calea VICTORIEI,208,P+7E+Ma,Sector 1,București,1940,44,52,52,1996,Mihai NAVODARIU,
U2,NO,44.449723,26.088163,Calea VICTORIEI,214,S+P+8E,Sector 1,București,1941,69,425,425,2016,Dan POPESCU,Reîncadrare în clasă de risc seismic în anul 2016 + acordul asociaţiei proprietarilor (imobilul a fost încadrat iniţial în RsI de expertul tehnic atestat M.D.R.A.P. Dragoş BADEA)
U2,NO,44.4335719,26.09818449,Calea VICTORIEI,22÷24,2S+P+8E,Sector 3,București,1939,,836,836,2012,Adina SIMION,Încadrare în clasă de risc seismic în anul 2012
U1,NO,44.450551,26.087485,Calea VICTORIEI,220,2S+P+4E,Sector 1,București,1945,,22,22,2014,Mihai VOICULESCU,Încadrare în clasă de risc seismic în anul 2014
C,YES_PUBLIC,44.4341663,26.0980107,Calea VICTORIEI,23,S+P+9E,Sector 3,București,,45,1595,1595,1993,,PVRTL nr.3640/1996
U2,NO,44.434099,26.098194,Calea VICTORIEI,25,2S+P+12E,Sector 3,București,1936,49,671,671,1993,Mihail STĂNESCU,Reîncadrare în clasă de risc seismic în anul 2012 + acordul asociaţiei proprietarilor (imobilul a fost încadrat iniţial în RsI de expertul tehnic atestat M.D.R.A.P. Mircea MIRONESCU)
RS1,NO,44.433871,26.098374,Calea VICTORIEI,26,S+P+1E,Sector 3,București,1822,,,,1993,Mircea NEICU,
U1,NO,44.435602,26.097808,Calea VICTORIEI,31,S+P+4E,Sector 1,București,1909,28,4545,4545,1995,Mihai URSACHESCU,Încadrare în clasă de risc seismic în anul 2008
U3,NO,44.436364,26.098063,Calea VICTORIEI,48÷50,S+P+6E,Sector 1,București,1910,30,1465,1465,1998,Maria DARIE,
U1,NO,44.436628,26.098029,Calea VICTORIEI,52,S+P+3E,Sector 1,București,1850,31,3447,3447,1995,Eugeniu IORDACHESCU,
RS2,NO,44.436765,26.097971,Calea VICTORIEI,54,S+P+4E,Sector 1,București,1907,,174,174,1995,Mihai URSACHESCU,
U1,NO,44.442821,26.093413,Calea VICTORIEI,87÷89,S+P+2E+Ma,Sector 1,București,1890,25,4452,4452,1993,Emilian TITARU,
RS2,NO,44.442881,26.092799,Calea VICTORIEI,91÷93,S+P+5E+M,Sector 1,București,1937,,10707,10707,1993,Dragoş BADEA,
U1,NO,44.443342,26.092967,Calea VICTORIEI,95,S+P+11E,Sector 1,București,1938,37,4167,4167,1993,Dan CAPATINA,
RS3,NO,44.3878317,26.0982562,Drumul GĂZARULUI,25,S+P,Sector 4,București,1900,,34,34,1993,Alexandru BRANZEI,
RS3,NO,44.4200125,26.1457954,Drumul MURGULUI,40 (bloc 54),S+P+10E,Sector 3,București,1965,,12562,12562,1996,Alexandrina PRETORIAN,
U2,NO,44.4254108,26.049475,Drumul TABEREI,20 (bloc C2),S+P+8E,Sector 6,București,1962,216,15993,15993,2001,Mircea CONDRUT,
