risk_category,consolidation_status,lat,lng,address,street_number,height_regime,locality,county,year_built,apartment_count,surface,,examination_year,certified_expert,observations
RS2,NO,44.413941,26.102206,Strada ION PUŞCARIU,9,S+P+3E,Sector 4,București,1930,,,,1993,Eugeniu IORDACHESCU,
RS2,NO,44.426827,26.122023,Strada ION RACOTEANU,2,S+P+4E,Sector 3,București,1935,,,,1993,Dan POPESCU,
RS2,NO,44.434992,26.067325,Strada ION RADOVICI,10,S+P+1E+Ma,Sector 5,București,1928,,,,1993,Laur AGAPI,
U2,NO,44.450329,26.096386,Strada ION SLĂTINEANU,4 (corp A+B),S+P+2E,Sector 1,București,1935,6,538,538,1997,Vladimir AMBROZIE,
RS2,NO,44.452795,26.1241,Strada IRIMICULUI,2 (bloc 1),S+P+11E,Sector 2,București,1976,,,,1993,Gabriel NICULESCU,
RS3,NO,44.4372818,26.1095773,Strada ITALIANĂ,1,S+P+2E+Ma,Sector 2,București,1925,,1444,1444,1994,Iorgu NICULA,
RS3,NO,44.438357,26.105962,Strada ITALIANĂ,23,S+P+2E+Ma,Sector 2,București,1925,,,,1993,Radu PETROVICI,
RS3,NO,44.444682,26.082537,Strada IULIA HASDEU,1,S+P+2E+Ma,Sector 1,București,1910,,,,1994,Eugen ANTONESCU,
C,YES_PUBLIC,44.4293227,26.1097231,Strada IULIU BARASCH,12,S+P+6E+Ma,Sector 3,București,1936,15,164,164,1994,Dan STANCIULESCU,PVRTL nr.17/2003
RS3,NO,44.465068,26.058166,Strada IVAN PETROVICI PAVLOV,29÷31,S+P+1E,Sector 1,București,1946,,,,1993,Gheorghe AFANASENCO,
RS3,NO,44.465278,26.058364,Strada IVAN PETROVICI PAVLOV,33÷35,S+P+1E,Sector 1,București,1946,,,,1993,Gheorghe AFANASENCO,
RS2,NO,44.4345,26.106823,Strada IVO ANDRIC,10,S+P+4E,Sector 3,București,1921,20,243,243,1993,Radu PETROVICI,
U1,NO,44.434424,26.106419,Strada IVO ANDRIC,4,S+P+2E+Ma,Sector 3,București,1910,20,1476,1476,2012,Mihai URSACHESCU,Încadrare în clasă de risc seismic în anul 2012
RS1,NO,44.434273,26.106514,Strada IVO ANDRIC,6,S+P+1E,Sector 3,București,1887,5,641,641,1993,Mihai PERJESCU,
U1,NO,44.43929,26.105032,Strada JEAN LOUIS CALDERON („TEATRUL FOARTE MIC”),2,S+P+Mz+5E,Sector 2,București,1910,22,3745,3745,1993,Mihai URSACHESCU; Dan STANCIULESCU,
RS2,NO,44.437497,26.105737,Strada JEAN LOUIS CALDERON,14 (corp A+B),S+P+2E+Ma; S+P+3E+Ma,Sector 2,București,1940,,,,1993,Adina SIMION,
U1,NO,44.439043,26.105235,Strada JEAN LOUIS CALDERON,22,S+P+4E,Sector 2,București,1940,10,1108,1108,1993,Adina SIMION,
RS1,NO,44.438623,26.105405,Strada JEAN LOUIS CALDERON,26,S+P+3E+Ma,Sector 2,București,1930,,,,1994,Alexandrina PRETORIAN,
U1,NO,44.439829,26.105118,Strada JEAN LOUIS CALDERON,36,S+P+4E+Ma,Sector 2,București,1930,34,3568,3568,1993,Mihai URSACHESCU,
U2,NO,44.439936,26.105074,Strada JEAN LOUIS CALDERON,40,S+P+6E,Sector 2,București,1942,32,2976,2976,2010,Mihai URSACHESCU,
RS3,NO,44.440625,26.104812,Strada JEAN LOUIS CALDERON,50,S+P+1E+Pod,Sector 2,București,1900,,,,1993,Leonid NEAGOE,
U1,NO,44.44156225,26.1043556,Strada JEAN LOUIS CALDERON,59,S+P+Mz+7E,Sector 2,București,1935,19,3706,3706,1993,Emilian ŢIŢARU,CONSOLIDAT PARŢIAL ! Obiectiv de investiții preluat de Administrația Municipală pentru Consolidarea Clădirilor cu Risc Seismic de la Direcția Generală Investiții (P.M.B.) pentru finalizarea execuției lucrărilor de consolidare.
U1,NO,44.442334,26.104676,Strada JEAN LOUIS CALDERON,61,P+5E,Sector 2,București,1930,13,2404,2404,1993,Alexandrina PRETORIAN.Dan STANCIULESCU,
U2,NO,44.442675,26.104989,Strada JEAN LOUIS CALDERON,76,S+P+1E+Ma,Sector 2,București,1900,,2528,2528,1993,Adina SIMION,
U2,NO,44.430086,26.071675,Strada JOLIOT FREDERIC CURIE,10,S+P+3E,Sector 5,București,1940,9,1,1,1997,Grigore ARSENIE,
U1,NO,44.429729,26.071477,Strada JOLIOT FREDERIC CURIE,15,Ds+P+2E+Ma,Sector 5,București,1935,8,210,210,2016,Nicolae ROŞCA,Încadrare în clasă de risc seismic în anul 2016
U2,NO,44.430316,26.072057,Strada JOLIOT FREDERIC CURIE,7,S+P+2E,Sector 5,București,1939,7,480,480,1997,Silvia CARAMAN,
U2,NO,44.433982,26.077913,Strada JOSEPH LISTER,1,S+P+4E+Ma,Sector 5,București,1934,21,233,233,2016,Gheorghe POPESCU,Reîncadrare în clasă de risc seismic în anul 2016 + acordul asociaţiei proprietarilor (imobilul a fost încadrat iniţial în RsI de expertul tehnic atestat M.D.R.A.P. Nicolae GHIŢĂ)
